 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
     -3.080528E-04       3.849000E+01       4.201072E+01
     -3.046211E-04       3.849000E+01       4.201072E+01
     -3.007243E-04       3.849000E+01       4.201072E+01
     -2.966479E-04       3.849000E+01       4.201072E+01
     -2.927140E-04       3.849000E+01       4.201072E+01
     -2.912348E-04       3.849000E+01       4.201072E+01
     -2.897555E-04       3.849000E+01       4.201072E+01
     -2.867228E-04       3.849000E+01       4.201072E+01
     -2.824561E-04       3.849000E+01       4.201072E+01
     -2.781738E-04       3.849000E+01       4.201072E+01
     -2.758102E-04       3.849000E+01       4.201072E+01
     -2.758102E-04       3.849000E+01       4.201072E+01
     -2.758102E-04       3.849000E+01       4.201072E+01
     -2.758102E-04       3.849000E+01       4.201072E+01
     -2.758101E-04       3.849000E+01       4.201072E+01
     -2.758092E-04       3.849000E+01       4.201072E+01
     -2.757547E-04       3.849000E+01       4.201072E+01
     -2.746813E-04       3.849000E+01       4.201072E+01
     -2.739211E-04       3.849000E+01       4.201072E+01
     -2.739211E-04       3.849000E+01       4.201072E+01
     -2.739211E-04       3.849000E+01       4.201072E+01
     -2.739208E-04       3.849000E+01       4.201072E+01
     -2.739070E-04       3.849000E+01       4.201072E+01
     -2.735795E-04       3.849000E+01       4.201072E+01
     -2.732571E-04       3.849000E+01       4.201072E+01
     -2.732532E-04       3.849000E+01       4.201072E+01
     -2.732492E-04       3.849000E+01       4.201072E+01
     -2.732125E-04       3.849000E+01       4.201072E+01
     -2.729299E-04       3.849000E+01       4.201072E+01
     -2.728101E-04       3.849000E+01       4.201072E+01
     -2.727892E-04       3.849000E+01       4.201072E+01
     -2.727682E-04       3.849000E+01       4.201072E+01
     -2.726509E-04       3.849000E+01       4.201072E+01
     -2.722677E-04       3.849100E+01       4.201072E+01
     -2.718551E-04       3.849100E+01       4.201072E+01
     -2.715421E-04       3.849100E+01       4.201072E+01
     -2.715405E-04       3.849100E+01       4.201072E+01
     -2.715390E-04       3.849100E+01       4.201072E+01
     -2.715248E-04       3.849100E+01       4.201072E+01
     -2.712721E-04       3.849100E+01       4.201072E+01
     -2.707453E-04       3.849100E+01       4.201072E+01
     -2.703820E-04       3.849100E+01       4.201072E+01
     -2.699320E-04       3.849100E+01       4.201072E+01
     -2.698372E-04       3.849100E+01       4.201072E+01
     -2.694836E-04       3.849100E+01       4.201072E+01
     -2.689713E-04       3.849100E+01       4.201072E+01
     -2.688490E-04       3.849100E+01       4.201072E+01
     -2.688443E-04       3.849100E+01       4.201072E+01
     -2.688191E-04       3.849100E+01       4.201072E+01
     -2.684922E-04       3.849100E+01       4.201072E+01
     -2.678549E-04       3.849100E+01       4.201072E+01
     -2.671484E-04       3.849100E+01       4.201072E+01
     -2.664376E-04       3.849100E+01       4.201072E+01
     -2.661465E-04       3.849100E+01       4.201072E+01
     -2.661318E-04       3.849100E+01       4.201072E+01
     -2.661172E-04       3.849100E+01       4.201072E+01
     -2.660351E-04       3.849100E+01       4.201072E+01
     -2.656137E-04       3.849100E+01       4.201072E+01
     -2.649646E-04       3.849100E+01       4.201072E+01
     -2.649530E-04       3.849100E+01       4.201072E+01
     -2.649367E-04       3.849100E+01       4.201072E+01
     -2.647830E-04       3.849100E+01       4.201072E+01
     -2.642806E-04       3.849100E+01       4.201072E+01
     -2.638459E-04       3.849100E+01       4.201072E+01
     -2.636256E-04       3.849100E+01       4.201072E+01
     -2.630752E-04       3.849100E+01       4.201072E+01
     -2.623571E-04       3.849100E+01       4.201072E+01
     -2.616597E-04       3.849100E+01       4.201072E+01
     -2.613147E-04       3.849100E+01       4.201072E+01
     -2.613076E-04       3.849100E+01       4.201072E+01
     -2.612982E-04       3.849100E+01       4.201072E+01
     -2.610873E-04       3.849100E+01       4.201072E+01
     -2.605510E-04       3.849100E+01       4.201072E+01
     -2.602128E-04       3.849100E+01       4.201072E+01
     -2.600387E-04       3.849100E+01       4.201072E+01
     -2.597241E-04       3.849100E+01       4.201072E+01
     -2.592279E-04       3.849100E+01       4.201072E+01
     -2.585707E-04       3.849100E+01       4.201072E+01
     -2.580628E-04       3.849100E+01       4.201072E+01
     -2.580567E-04       3.849100E+01       4.201072E+01
     -2.580484E-04       3.849100E+01       4.201072E+01
     -2.578839E-04       3.849100E+01       4.201072E+01
     -2.575176E-04       3.849100E+01       4.201072E+01
     -2.570665E-04       3.849100E+01       4.201072E+01
     -2.565308E-04       3.849100E+01       4.201072E+01
     -2.560145E-04       3.849100E+01       4.201072E+01
     -2.556054E-04       3.849100E+01       4.201072E+01
     -2.550745E-04       3.849100E+01       4.201072E+01
     -2.544608E-04       3.849100E+01       4.201072E+01
     -2.540369E-04       3.849100E+01       4.201072E+01
     -2.535841E-04       3.849100E+01       4.201072E+01
     -2.530323E-04       3.849100E+01       4.201072E+01
     -2.524861E-04       3.849100E+01       4.201072E+01
     -2.520907E-04       3.849100E+01       4.201072E+01
     -2.516016E-04       3.849100E+01       4.201072E+01
     -2.510194E-04       3.849100E+01       4.201072E+01
     -2.505085E-04       3.849100E+01       4.201072E+01
     -2.501009E-04       3.849100E+01       4.201072E+01
     -2.495775E-04       3.849100E+01       4.201072E+01
     -2.489589E-04       3.849100E+01       4.201072E+01
     -2.484198E-04       3.849100E+01       4.201072E+01
     -2.480192E-04       3.849100E+01       4.201072E+01
     -2.474706E-04       3.849100E+01       4.201072E+01
     -2.468430E-04       3.849100E+01       4.201072E+01
     -2.463577E-04       3.849100E+01       4.201072E+01
     -2.458789E-04       3.849100E+01       4.201072E+01
     -2.452640E-04       3.849100E+01       4.201072E+01
     -2.446041E-04       3.849100E+01       4.201072E+01
     -2.441828E-04       3.849100E+01       4.201072E+01
     -2.436745E-04       3.849200E+01       4.201072E+01
     -2.430217E-04       3.849100E+01       4.201072E+01
     -2.423806E-04       3.849100E+01       4.201072E+01
     -2.420192E-04       3.849100E+01       4.201072E+01
     -2.418189E-04       3.849200E+01       4.201072E+01
     -2.416424E-04       3.849200E+01       4.201072E+01
     -2.413541E-04       3.849200E+01       4.201072E+01
     -2.410797E-04       3.849200E+01       4.201072E+01
     -2.404104E-04       3.849200E+01       4.201072E+01
     -2.398644E-04       3.849200E+01       4.201072E+01
     -2.392777E-04       3.849200E+01       4.201072E+01
     -2.385485E-04       3.849200E+01       4.201072E+01
     -2.378432E-04       3.849200E+01       4.201072E+01
     -2.373599E-04       3.849200E+01       4.201072E+01
     -2.367539E-04       3.849200E+01       4.201072E+01
     -2.360401E-04       3.849200E+01       4.201072E+01
     -2.354712E-04       3.849200E+01       4.201072E+01
     -2.350015E-04       3.849200E+01       4.201072E+01
     -2.343635E-04       3.849200E+01       4.201072E+01
     -2.336631E-04       3.849200E+01       4.201072E+01
     -2.331558E-04       3.849200E+01       4.201072E+01
     -2.326226E-04       3.849200E+01       4.201072E+01
     -2.319288E-04       3.849200E+01       4.201072E+01
     -2.312135E-04       3.849200E+01       4.201072E+01
     -2.307345E-04       3.849200E+01       4.201072E+01
     -2.301104E-04       3.849200E+01       4.201072E+01
     -2.293403E-04       3.849200E+01       4.201072E+01
     -2.287162E-04       3.849200E+01       4.201072E+01
     -2.282115E-04       3.849200E+01       4.201072E+01
     -2.275217E-04       3.849200E+01       4.201072E+01
     -2.266986E-04       3.849200E+01       4.201072E+01
     -2.261124E-04       3.849200E+01       4.201072E+01
     -2.254880E-04       3.849200E+01       4.201072E+01
     -2.246952E-04       3.849300E+01       4.201072E+01
     -2.239280E-04       3.849300E+01       4.201072E+01
     -2.234051E-04       3.849300E+01       4.201072E+01
     -2.226588E-04       3.849300E+01       4.201072E+01
     -2.217439E-04       3.849300E+01       4.201072E+01
     -2.209881E-04       3.849300E+01       4.201072E+01
     -2.203033E-04       3.849300E+01       4.201072E+01
     -2.194804E-04       3.849300E+01       4.201072E+01
     -2.187013E-04       3.849300E+01       4.201072E+01
     -2.181157E-04       3.849300E+01       4.201072E+01
     -2.177727E-04       3.849300E+01       4.201072E+01
     -2.174117E-04       3.849300E+01       4.201072E+01
     -2.166798E-04       3.849300E+01       4.201072E+01
     -2.160494E-04       3.849300E+01       4.201072E+01
     -2.154013E-04       3.849300E+01       4.201072E+01
     -2.145804E-04       3.849300E+01       4.201072E+01
     -2.138391E-04       3.849300E+01       4.201072E+01
     -2.132236E-04       3.849300E+01       4.201072E+01
     -2.129556E-04       3.849300E+01       4.201072E+01
     -2.125173E-04       3.849300E+01       4.201072E+01
     -2.117759E-04       3.849300E+01       4.201072E+01
     -2.109807E-04       3.849300E+01       4.201072E+01
