 days post max Lbol   log_Lbol (erg/s)   log_Lnuc (erg/s)
     -1.114270E-05       3.894500E+01       4.281345E+01
     -1.101100E-05       3.894500E+01       4.281345E+01
     -1.088560E-05       3.894500E+01       4.281345E+01
     -1.075220E-05       3.894500E+01       4.281345E+01
     -1.062700E-05       3.894500E+01       4.281345E+01
     -1.050290E-05       3.894400E+01       4.281345E+01
     -1.037440E-05       3.894400E+01       4.281345E+01
     -1.024460E-05       3.894400E+01       4.281345E+01
     -1.012450E-05       3.894400E+01       4.281345E+01
     -9.996500E-06       3.894400E+01       4.281345E+01
     -9.868500E-06       3.894400E+01       4.281345E+01
     -9.743100E-06       3.894400E+01       4.281345E+01
     -9.606400E-06       3.894400E+01       4.281345E+01
     -9.565600E-06       3.894400E+01       4.281345E+01
     -9.481800E-06       3.894400E+01       4.281345E+01
     -9.371600E-06       3.894400E+01       4.281345E+01
     -9.244600E-06       3.894400E+01       4.281345E+01
     -9.108700E-06       3.894400E+01       4.281345E+01
     -8.978600E-06       3.894400E+01       4.281345E+01
     -8.836300E-06       3.894400E+01       4.281345E+01
     -8.792600E-06       3.894400E+01       4.281345E+01
     -8.701800E-06       3.894400E+01       4.281345E+01
     -8.582800E-06       3.894400E+01       4.281345E+01
     -8.448800E-06       3.894300E+01       4.281345E+01
     -8.409600E-06       3.894300E+01       4.281345E+01
     -8.325100E-06       3.894300E+01       4.281345E+01
     -8.209000E-06       3.894300E+01       4.281345E+01
     -8.074500E-06       3.894300E+01       4.281345E+01
     -7.951400E-06       3.894300E+01       4.281345E+01
     -7.813000E-06       3.894300E+01       4.281345E+01
     -7.681000E-06       3.894300E+01       4.281345E+01
     -7.634700E-06       3.894300E+01       4.281345E+01
     -7.534500E-06       3.894300E+01       4.281345E+01
     -7.418700E-06       3.894300E+01       4.281345E+01
     -7.295300E-06       3.894300E+01       4.281345E+01
     -7.172300E-06       3.894300E+01       4.281345E+01
     -7.047800E-06       3.894300E+01       4.281345E+01
     -6.957000E-06       3.894300E+01       4.281345E+01
     -6.886500E-06       3.894300E+01       4.281345E+01
     -6.832800E-06       3.894300E+01       4.281345E+01
     -6.778700E-06       3.894300E+01       4.281345E+01
     -6.724400E-06       3.894300E+01       4.281345E+01
     -6.666900E-06       3.894300E+01       4.281345E+01
     -6.611500E-06       3.894300E+01       4.281345E+01
     -6.560200E-06       3.894300E+01       4.281345E+01
     -6.505500E-06       3.894300E+01       4.281345E+01
     -6.449100E-06       3.894300E+01       4.281345E+01
     -6.392800E-06       3.894200E+01       4.281345E+01
     -6.336100E-06       3.894200E+01       4.281345E+01
     -6.278300E-06       3.894200E+01       4.281345E+01
     -6.222500E-06       3.894200E+01       4.281345E+01
     -6.167800E-06       3.894200E+01       4.281345E+01
     -6.113700E-06       3.894200E+01       4.281345E+01
     -6.058700E-06       3.894200E+01       4.281345E+01
     -6.020800E-06       3.894200E+01       4.281345E+01
     -5.982900E-06       3.894200E+01       4.281345E+01
     -5.950000E-06       3.894200E+01       4.281345E+01
     -5.921700E-06       3.894200E+01       4.281345E+01
     -5.876900E-06       3.894200E+01       4.281345E+01
     -5.843700E-06       3.894200E+01       4.281345E+01
     -5.810600E-06       3.894200E+01       4.281345E+01
     -5.771100E-06       3.894200E+01       4.281345E+01
     -5.731600E-06       3.894200E+01       4.281345E+01
     -5.692500E-06       3.894200E+01       4.281345E+01
     -5.653700E-06       3.894200E+01       4.281345E+01
     -5.614900E-06       3.894200E+01       4.281345E+01
     -5.578300E-06       3.894200E+01       4.281345E+01
     -5.541600E-06       3.894200E+01       4.281345E+01
     -5.503400E-06       3.894200E+01       4.281345E+01
     -5.463600E-06       3.894200E+01       4.281345E+01
     -5.423700E-06       3.894200E+01       4.281345E+01
     -5.380700E-06       3.894200E+01       4.281345E+01
     -5.334500E-06       3.894200E+01       4.281345E+01
